character,foxchild_selection_rank,moe_frequency_rank,hk_frequency_rank,edb_presence,edb_source_glyph,unihan_definition,suggested_category,cangjie,quick,reading_count,decomposition_status,top_level_operator,register_review_status,review_tasks,review_priority_band
政,747,754,,true,政,"government, political affairs",general,MMOK,MK,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
符,748,755,,true,符,"i.d. tag, tally, symbol, charm",general,HODI,HI,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
蛋,749,756,,true,蛋,eggs; term of abuse,general,NOLMI,NI,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
爾,750,757,,true,爾,"you; that, those; final particle",general,MFBK,MK,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
揚,751,758,,true,揚,"scatter, spread; praise",general,QAMH,QH,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
標,752,759,,true,標,"a mark, symbol, label, sign; standard",general,DMWF,DF,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
持,753,760,,true,持,"sustain, support; hold, grasp",general,QGDI,QI,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
陣,754,761,,true,陣,"column, row or file of troops",general,NLJWJ,NJ,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
密,755,762,,true,密,"dense, thick, close; intimate",general,JPHU,JU,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
勝,756,763,,true,勝,"victory; excel, be better than",general,BFQS,BS,3,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
傷,757,764,,true,傷,"wound, injury; fall ill from",general,OOAH,OH,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
貓,758,765,,true,貓,cat,general,BHTW,BW,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
議,759,766,,true,議,"consult, talk over, discuss",general,YRTGI,YI,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
瓜,760,767,,true,瓜,"melon, gourd, cucumber; Kangxi radical 97",general,HVIO,HO,2,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
竹,761,768,,true,竹,bamboo; flute; Kangxi radical 118,general,H,H,2,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
