family_id,family_type,character,basis,relationship,source,confidence,review_status
component-241fe,component-shared,勞,𤇾,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-241fe,component-shared,榮,𤇾,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-241fe,component-shared,營,𤇾,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-241fe,component-shared,瑩,𤇾,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-241fe,component-shared,鶯,𤇾,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-24514,component-shared,亂,𤔔,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-24514,component-shared,辭,𤔔,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,玩,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,玫,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,玲,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,玻,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,珀,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,珊,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,珍,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,珠,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,現,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,球,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,理,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,琢,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,琥,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,琦,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,琪,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-248e9,component-shared,琳,𤣩,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
